,dividend_id,dividend_date,ticker,type,dividend,total,quantity,portfolio
138,9c97732a93434f1793fb8ffbf617b2db,2025-11-10,CSMG3,JUROS,0.38,1.9,5,RENDA
139,547bceb75f7c4b5bb291985cbc8e2e77,2025-11-19,CMIN3,JUROS,0.07,10.04,134,RENDA
140,f9661845892e42f99e799a33fd8bfbff,2025-11-19,CMIN3,DIVIDENDOS,0.08,10.46,134,RENDA
141,14bd4a6de0a94c05ade24891e01f107e,2025-11-19,KLBN3,DIVIDENDOS,0.05,1.72,33,RENDA
142,1c708f000d624dfb9f5debbd22418b32,2025-11-21,PETR4,JUROS,0.29,2.57,9,RENDA
143,24e92393bbdd46e086e35e080800bfc0,2025-11-24,BRAP4,JUROS,0.69,4.15,6,RENDA
144,33b98a2d89334dc89d864b9c94e356b9,2025-11-27,TAEE4,JUROS,0.18,3.62,20,RENDA
145,6faeda83d99a44f39a60fadfb52d629d,2025-11-27,TAEE4,DIVIDENDOS,0.11,2.14,20,RENDA
146,61534446ae6e4e64af1da56059954f28,2025-11-27,TAEE4,DIVIDENDOS,0.08,1.53,20,RENDA
147,be6ad0c2dbec484dbb2452dd47be2b0d,2025-12-11,BBAS3,JUROS,0.06,4.53,74,RENDA
148,9f193bdc6d4c4aba81ead5802f3a5bee,2025-12-12,BBAS3,JUROS,0.04,2.89,74,RENDA
149,fe9b870d065b4bea85c98b4a7d1e1632,2025-12-16,UNIP6,DIVIDENDOS,0.44,1.33,3,RENDA
150,c7edcdcfddbf478194372266c85bf3b3,2025-12-16,UNIP6,DIVIDENDOS,6.03,18.09,3,RENDA
151,d347782bdfd641458c7489f652bd4b54,2025-12-22,PETR4,DIVIDENDOS,0.2,1.8,9,RENDA
152,e87cdf5920f542eaa08d307a83e9a064,2025-12-22,PETR4,JUROS,0.11,1.03,9,RENDA
153,33102508b2cf4eb3a0e37345f09ddeb1,2025-12-30,BRAP4,DIVIDENDOS,0.66,3.94,6,RENDA
